plate,row,col,well,Ab,gene
1,A,1,A01,HPA000286,ACSL4
1,B,1,B01,HPA000898,HSPA9
1,C,1,C01,HPA000944,NGDN
1,D,1,D01,HPA000994,TXN2
1,E,1,E01,HPA001097,ACO2
1,F,1,F01,HPA001240,MPST
1,G,1,G01,HPA001247,CYC1
1,H,1,H01,HPA001520,ATP5F1B
1,A,2,A02,HPA001528,ATP5F1B
1,B,2,B02,HPA001814,SOD2
1,C,2,C02,HPA001897,ILF3
1,D,2,D02,HPA002017,IDH3G
1,E,2,E02,HPA002119,GART
1,F,2,F02,HPA002192,LONP1
1,G,2,G02,HPA002485,COX4I1
1,H,2,H02,HPA002868,SDHB
1,A,3,A03,HPA002946,HCCS
1,B,3,B03,HPA003010,DLST
1,C,3,C03,HPA003122,MCAT
1,D,3,D03,HPA003323,TXNRD2
1,E,3,E03,HPA003340,S100A10
1,F,3,F03,HPA003525,UQCRC1
1,G,3,G03,HPA003884,NDUFS4
1,H,3,H03,HPA003886,NDUFB8
1,A,4,A04,HPA004186,GIT1
1,B,4,B04,HPA004192,COX6B1
1,C,4,C04,HPA004248,NR3C1
1,D,4,D04,HPA004428,ACAT1
1,E,4,E04,HPA004484,NDUFS3
1,F,4,F04,HPA005640,NDUFB5
1,G,4,G04,HPA005685,ARMCX1
1,H,4,H04,HPA005761,ARMCX2
1,A,5,A05,HPA005835,ECH1
1,B,5,B05,HPA006172,ZNF230
1,C,5,C05,HPA006198,ACADM
1,D,5,D05,HPA006401,ALDH4A1
1,E,5,E05,HPA006672,ZKSCAN1
1,F,5,F05,HPA007162,ACSL5
1,G,5,G05,HPA007569,ACAT1
1,H,5,H05,HPA007571,GLUL
1,A,6,A06,HPA007831,IDH2
1,B,6,B06,HPA007949,PDPN
1,C,6,C06,HPA007998,UQCRC2
1,D,6,D06,HPA008287,PDK2
1,E,6,E06,HPA008333,ALDH18A1
1,F,6,F06,HPA008835,CPT1A
1,G,6,G06,HPA009975,RMDN3
1,H,6,H06,HPA009985,PIK3CA
1,A,7,A07,HPA010531,CYB5R1
1,B,7,B07,HPA010844,DHRS3
1,C,7,C07,HPA012047,OXCT1
1,D,7,D07,HPA012319,MRPL52
1,E,7,E07,HPA012595,FKBP9
1,F,7,F07,HPA012604,ALDH18A1
1,G,7,G07,HPA012618,CA5B
1,H,7,H07,HPA014295,COX6C
1,A,8,A08,HPA015536,HADHA
1,B,8,B08,HPA015652,BNIP3L
1,C,8,C08,HPA016480,MCU
1,D,8,D08,HPA018028,SFXN4
1,E,8,E08,HPA018524,NDUFS8
1,F,8,F08,HPA018842,LIAS
1,G,8,G08,HPA018910,ETFB
1,H,8,H08,HPA018981,ZNF200
1,A,9,A09,HPA018991,TUFM
1,B,9,B09,HPA019006,ACADVL
1,C,9,C09,HPA019371,ACO1
1,D,9,D09,HPA019467,TAGLN
1,E,9,E09,HPA019514,OGDH
1,F,9,F09,HPA019714,MDH2
1,G,9,G09,HPA019869,GSTP1
1,H,9,H09,HPA019902,YIPF2
1,A,10,A10,HPA020066,PPM1K
1,B,10,B10,HPA020291,SLIRP
1,C,10,C10,HPA020347,OGDH
1,D,10,D10,HPA020460,GCAT
1,E,10,E10,HPA020463,NDUFV3
1,F,10,F10,HPA020637,AASS
1,G,10,G10,HPA020734,AASS
1,H,10,H10,HPA021152,PDP1
1,A,11,A11,HPA021293,OXSM
1,B,11,B11,HPA021643,TACO1
1,C,11,C11,HPA022002,SIRT5
1,D,11,D11,HPA022130,ECI2
1,E,11,E11,HPA022243,SPACA9
1,F,11,F11,HPA022261,CYP24A1
1,G,11,G11,HPA022271,ACADS
1,H,11,H11,HPA022476,ECHS1
1,A,12,A12,HPA022522,MRPS7
1,B,12,B12,HPA022534,MRM3
1,C,12,C12,HPA022787,BRPF3
1,D,12,D12,HPA023162,DECR1
1,E,12,E12,HPA023187,TMEM70
